date,code,name,open,close,high,low,volume,turnover,log_return,is_extreme,idx_close,idx_log_return,cpi_yoy,industry
2024-09-05,600048,保利发展,201.42,201.68,203.49,199.86,91529365.0,711791939.0,0.011620209052300434,False,3257.758,0.0017183003166509568,,房地产
2024-09-06,600048,保利发展,200.38,199.09,200.9,198.83,70593544.0,544099439.0,-0.01292529908795925,False,3231.346,-0.008140460024589676,,房地产
2024-09-09,600048,保利发展,197.28,195.2,197.53,193.13,74544200.0,561747002.0,-0.019732309812713063,False,3192.952,-0.011952887962660976,,房地产
2024-09-10,600048,保利发展,194.69,192.87,195.72,188.99,94511171.0,700696026.0,-0.012008287157287013,False,3195.755,0.000877485907509786,,房地产
2024-09-11,600048,保利发展,192.1,194.43,197.02,191.06,69862242.0,525280574.0,0.008055814286029353,False,3186.13,-0.003016352471929409,,房地产
2024-09-12,600048,保利发展,194.17,193.91,198.05,193.39,50465503.0,380069396.0,-0.0026780672132077654,False,3172.475,-0.004294973816085464,,房地产
2024-09-13,600048,保利发展,194.95,193.65,196.76,193.39,65166901.0,490379058.0,-0.0013417279337653945,False,3159.247,-0.004178332290974787,,房地产
2024-09-18,600048,保利发展,194.43,197.53,200.38,190.8,122346305.0,925070375.0,0.019838065579147874,False,3171.01,0.003716441066814706,,房地产
2024-09-19,600048,保利发展,199.35,204.78,208.67,198.57,202320078.0,1593373527.0,0.036045760606761394,False,3196.036,0.007861142790138772,,房地产
2024-09-20,600048,保利发展,199.61,208.41,208.93,199.09,184298619.0,1464732580.0,0.01757106122622848,False,3201.05,0.0015675890637570926,,房地产
2024-09-23,600048,保利发展,206.08,209.18,212.29,205.3,135316631.0,1096672372.0,0.003687831953222938,False,3212.764,0.003652744848710739,,房地产
2024-09-24,600048,保利发展,213.59,211.51,216.43,204.52,279252468.0,2267065203.0,0.011077153366360986,False,3351.909,0.04239840844680647,,房地产
2024-09-25,600048,保利发展,213.33,214.62,224.98,212.55,274756687.0,2327372454.0,0.014596743806498377,False,3401.533,0.014696178078189135,,房地产
2024-09-26,600048,保利发展,212.55,236.11,236.11,212.55,349978064.0,3063646913.0,0.09542877562989077,False,3545.32,0.041402211535104046,,房地产
2024-09-27,600048,保利发展,248.54,259.67,259.67,247.76,446630714.0,4385364981.0,0.09511379596184806,False,3703.685,0.04369984607775463,,房地产
2024-09-30,600048,保利发展,285.56,285.56,285.56,265.36,635977736.0,6876364512.0,0.09504057054353934,False,4017.855,0.08141990816478428,,房地产
2024-10-08,600048,保利发展,314.04,284.52,314.04,268.21,686120756.0,7761689306.0,-0.0036486147689454534,False,4256.096,0.057604130040133705,,房地产
2024-10-09,600048,保利发展,274.43,256.04,274.43,256.04,395132044.0,3955323147.0,-0.10546986759151163,False,3955.984,-0.07312293891302561,,房地产
2024-10-10,600048,保利发展,248.8,259.67,267.95,245.95,332952272.0,3317654926.0,0.014077911816917572,False,3997.788,0.010511838896093,,房地产
2024-10-11,600048,保利发展,257.86,265.36,269.25,252.68,282175686.0,2864943674.0,0.021675800548076676,False,3887.167,-0.028060593486586745,,房地产
2024-10-14,600048,保利发展,274.17,279.34,288.66,269.51,363826860.0,3894495699.0,0.05134228323882815,False,3961.342,0.01890224207299884,,房地产
2024-10-15,600048,保利发展,274.17,282.97,289.96,271.06,290089419.0,3183282069.0,0.01291120707932841,False,3855.995,-0.026953776678448088,,房地产
2024-10-16,600048,保利发展,288.41,294.88,299.28,281.67,409158138.0,4598587526.0,0.04122760896455958,False,3831.589,-0.0063494804078287935,,房地产
2024-10-17,600048,保利发展,293.84,267.18,293.84,266.66,380881709.0,4068332291.0,-0.09864590535984716,False,3788.222,-0.011382819927967669,,房地产
2024-10-18,600048,保利发展,261.48,271.06,278.05,256.3,290448063.0,2985762302.0,0.014417610026203913,False,3925.234,0.035529187560530216,,房地产
2024-10-21,600048,保利发展,271.06,278.57,279.86,264.85,233811713.0,2486453363.0,0.02732917569633184,False,3935.197,0.002534976856937196,,房地产
2024-10-22,600048,保利发展,277.01,283.75,285.82,275.2,171052467.0,1857821068.0,0.018424194511410842,False,3957.776,0.005721307190713316,,房地产
2024-10-23,600048,保利发展,282.45,283.23,287.89,280.9,147606018.0,1618899813.0,-0.001834280383077442,False,3973.209,0.003891829193837529,,房地产
2024-10-24,600048,保利发展,281.16,277.53,284.26,275.98,112316218.0,1212073847.0,-0.020330252961198114,False,3928.833,-0.011231645314258751,,房地产
2024-10-25,600048,保利发展,277.01,277.27,284.0,276.24,115332666.0,1245209735.0,-0.0009372747621982534,False,3956.421,0.0069973935061650285,,房地产
2024-10-28,600048,保利发展,275.98,282.45,284.26,275.72,122909611.0,1333629137.0,0.01850978308213254,False,3964.157,0.0019533934164612876,,房地产
2024-10-29,600048,保利发展,278.57,274.94,287.11,274.68,124956084.0,1348794221.0,-0.026948651727997094,False,3924.649,-0.010016301657580669,,房地产
2024-10-30,600048,保利发展,274.94,276.24,281.42,272.35,149861928.0,1604000283.0,0.004717161038462921,False,3889.449,-0.00900941813046506,,房地产
2024-10-31,600048,保利发展,274.43,279.6,288.66,272.35,182883554.0,1989913859.0,0.012089957277918355,False,3891.04,0.0004089717297141147,,房地产
2024-11-01,600048,保利发展,282.19,283.23,292.81,280.9,211500237.0,2339025204.0,0.012899278052879626,False,3890.02,-0.0002621750779052402,,房地产
2024-11-04,600048,保利发展,285.56,281.67,286.08,276.5,141514511.0,1523861446.0,-0.005523115473969154,False,3944.762,0.013974323941573349,,房地产
2024-11-05,600048,保利发展,280.12,288.41,291.25,278.31,168047408.0,1856971741.0,0.023646905934897166,False,4044.573,0.024987359568719877,,房地产
2024-11-06,600048,保利发展,287.89,293.58,299.54,279.6,256923810.0,2858841168.0,0.017767095655624215,False,4024.283,-0.0050292241592590796,,房地产
2024-11-07,600048,保利发展,288.92,301.61,302.9,286.33,300394705.0,3455045465.0,0.026984617553723025,False,4145.695,0.02972368806939819,,房地产
2024-11-08,600048,保利发展,305.23,289.44,306.01,287.37,260312637.0,2942131233.0,-0.041186770435825235,False,4104.047,-0.010096886381138046,,房地产
2024-11-11,600048,保利发展,282.97,282.45,286.33,276.76,196476715.0,2125478297.0,-0.024446477875713916,False,4131.131,0.006577659317234975,,房地产
2024-11-12,600048,保利发展,281.16,280.12,286.59,278.31,130569187.0,1423286322.0,-0.008283460983954022,False,4085.743,-0.011047622644016734,,房地产
2024-11-13,600048,保利发展,278.57,275.2,280.9,272.61,129420247.0,1378122582.0,-0.017719976728128386,False,4110.89,0.006135953359996323,,房地产
2024-11-14,600048,保利发展,280.38,268.73,280.64,268.73,156719226.0,1653802047.0,-0.02379094799116889,False,4039.619,-0.017489169482634275,,房地产
2024-11-15,600048,保利发展,266.92,261.74,269.51,261.74,124318433.0,1270504259.0,-0.02635551344068509,False,3968.831,-0.01767878769577378,,房地产
2024-11-18,600048,保利发展,264.07,263.55,271.32,262.0,158410414.0,1630767433.0,0.006891458673881385,False,3950.381,-0.0046595629417322615,,房地产
2024-11-19,600048,保利发展,264.33,263.55,265.36,257.6,126835497.0,1275236373.0,0.0,False,3976.891,0.0066883282986135275,,房地产
2024-11-20,600048,保利发展,261.74,262.78,264.33,259.41,85730371.0,867267203.0,-0.0029259230875399774,False,3985.773,0.002230912590004434,,房地产
2024-11-21,600048,保利发展,261.74,260.45,263.55,258.37,76674816.0,770771821.0,-0.008906276022475453,False,3989.298,0.0008840047266173201,,房地产
2024-11-22,600048,保利发展,260.19,251.9,261.48,251.38,110615055.0,1097490612.0,-0.03337872083263593,False,3865.699,-0.0314727560693115,,房地产
2024-11-25,600048,保利发展,251.9,252.16,255.27,249.31,91711377.0,893139666.0,0.001031623310949857,False,3848.091,-0.004565338331121704,,房地产
2024-11-26,600048,保利发展,251.64,255.01,258.63,250.35,96042645.0,945151344.0,0.011238953406271514,False,3840.185,-0.002056638649993403,,房地产
2024-11-27,600048,保利发展,254.49,258.89,259.67,251.64,121033522.0,1197444720.0,0.01510050098402478,False,3907.045,0.0172607912726985,,房地产
2024-11-28,600048,保利发展,258.37,259.67,262.0,257.08,106864014.0,1071849603.0,0.003008333030909927,False,3872.551,-0.008867870786063839,,房地产
2024-11-29,600048,保利发展,259.67,265.11,270.02,258.89,166431467.0,1708627654.0,0.020733240107302348,False,3916.583,0.011306126982641185,,房地产
2024-12-02,600048,保利发展,262.78,265.11,267.44,259.93,132940371.0,1355802174.0,0.0,False,3947.632,0.00789631548219727,,房地产
2024-12-03,600048,保利发展,264.33,266.92,269.51,262.78,107875846.0,1109166370.0,0.006804153837383069,False,3951.891,0.0010782930596358363,,房地产
2024-12-04,600048,保利发展,265.62,261.74,267.18,260.7,80468570.0,820150110.0,-0.019597343408071295,False,3930.557,-0.005413052415318662,,房地产
2024-12-05,600048,保利发展,260.96,260.19,262.0,257.86,63666087.0,638406115.0,-0.005939511262860466,False,3921.588,-0.0022844723067716698,,房地产
2024-12-06,600048,保利发展,259.93,262.78,265.11,258.63,83919300.0,850713199.0,0.009905046849201873,False,3973.141,0.013060291945706284,,房地产
2024-12-09,600048,保利发展,262.78,255.53,263.29,254.75,128951124.0,1282290730.0,-0.02797736063298765,False,3966.571,-0.0016549722457353533,,房地产
2024-12-10,600048,保利发展,270.54,259.67,270.54,259.67,219481173.0,2243889133.0,0.016071774510032135,False,3995.637,0.007301022307707265,,房地产
2024-12-11,600048,保利发展,259.15,263.03,265.11,257.86,131202115.0,1331278643.0,0.01285650002279875,False,3988.831,-0.001704810301300157,,房地产
2024-12-12,600048,保利发展,263.03,264.33,265.62,259.67,101663590.0,1031999453.0,0.004930228433228854,False,4028.505,0.009897133873214472,,房地产
2024-12-13,600048,保利发展,262.26,254.75,262.52,253.71,181411783.0,1798913611.0,-0.036915650443913886,False,3933.181,-0.023946826151131233,,房地产
2024-12-16,600048,保利发展,255.01,245.95,256.3,244.91,147861024.0,1420514728.0,-0.03515440886148547,False,3911.842,-0.005440150431095955,,房地产
2024-12-17,600048,保利发展,245.95,243.62,246.21,242.84,80713586.0,761540604.0,-0.009518628969535935,False,3922.033,0.002601779004333989,,房地产
2024-12-18,600048,保利发展,244.91,243.36,246.98,242.58,75090262.0,708995115.0,-0.0010678057608301005,False,3941.89,0.005050161911033469,,房地产
2024-12-19,600048,保利发展,239.48,243.1,243.1,238.7,74350864.0,693350916.0,-0.0010689471889051556,False,3945.464,0.0009062608942398439,,房地产
2024-12-20,600048,保利发展,242.06,241.81,243.62,238.7,98549043.0,915459718.0,-0.005320587503572089,False,3927.744,-0.004501349366211429,,房地产
2024-12-23,600048,保利发展,241.03,238.7,244.14,237.92,95041784.0,882186494.0,-0.012944760473721117,False,3933.572,0.001482703676507628,,房地产
2024-12-24,600048,保利发展,238.18,239.22,240.25,237.4,92218778.0,850471644.0,0.002176097276534386,False,3983.688,0.012660104473919163,,房地产
2024-12-25,600048,保利发展,238.7,237.92,239.48,234.56,109407910.0,999648469.0,-0.00544914790947379,False,3985.629,0.000487118290910206,,房地产
2024-12-26,600048,保利发展,237.4,235.07,238.18,234.04,104338724.0,948933818.0,-0.012051140582418093,False,3987.48,0.0004643107307961344,,房地产
2024-12-27,600048,保利发展,234.82,236.37,237.66,233.78,86901308.0,792543635.0,0.005515031796279646,False,3981.031,-0.0016186214483476127,,房地产
2024-12-30,600048,保利发展,235.07,232.74,236.89,231.71,124194080.0,1118876057.0,-0.015476423245775627,False,3999.055,0.004517252232407563,,房地产
2024-12-31,600048,保利发展,232.74,229.38,236.11,228.86,116544551.0,1045881148.0,-0.014541933743554464,False,3934.911,-0.016169819129819747,,房地产
2025-01-02,600048,保利发展,228.86,224.72,232.49,222.91,127331073.0,1121639098.0,-0.020524834140388137,False,3820.395,-0.029534443664534636,,房地产
2025-01-03,600048,保利发展,224.72,221.09,226.53,219.8,107856731.0,930058464.0,-0.016285324358860064,False,3775.165,-0.011909730059042637,,房地产
2025-01-06,600048,保利发展,220.84,221.09,221.09,216.69,101029297.0,857093438.0,0.0,False,3768.97,-0.0016423357727464196,,房地产
2025-01-07,600048,保利发展,220.32,224.46,225.24,217.47,104231899.0,895668427.0,0.015127659150981564,False,3796.106,0.0071740499061543695,,房地产
2025-01-08,600048,保利发展,222.91,222.65,224.46,219.8,84375984.0,724363005.0,-0.00809648582039845,False,3789.215,-0.0018169308578333996,,房地产
2025-01-09,600048,保利发展,222.39,223.68,224.72,220.58,67124707.0,578095837.0,0.004615427277734103,False,3779.877,-0.0024674042111109715,,房地产
2025-01-10,600048,保利发展,223.17,219.28,226.79,219.02,73884718.0,631963068.0,-0.019867007050915132,False,3732.481,-0.012618309423246593,,房地产
2025-01-13,600048,保利发展,217.47,223.42,223.42,215.66,87119016.0,742674003.0,0.01870395614817189,False,3722.513,-0.0026741821496582105,,房地产
2025-01-14,600048,保利发展,222.65,227.05,227.31,222.65,97104212.0,845954924.0,0.01611684940125785,False,3820.54,0.02599279603784258,,房地产
2025-01-15,600048,保利发展,226.53,226.01,227.57,222.65,69014560.0,600489740.0,-0.004591011462968158,False,3796.026,-0.006437043845174013,,房地产
2025-01-16,600048,保利发展,226.27,224.2,228.86,221.35,97005356.0,843912398.0,-0.008040735442932467,False,3800.384,0.0011473842191523059,,房地产
2025-01-17,600048,保利发展,218.76,224.2,227.05,218.51,106514789.0,917489047.0,0.0,False,3812.343,0.003141846499282337,,房地产
2025-01-20,600048,保利发展,223.68,222.65,226.01,218.25,124404388.0,1067657474.0,-0.006937478870348033,False,3829.676,0.004536243556181154,,房地产
2025-01-21,600048,保利发展,222.91,225.24,233.78,221.61,237014463.0,2085028670.0,0.011565468618706378,False,3832.615,0.0007671335228932579,,房地产
